noise_probability,alice_bit,alice_basis,bob_basis,shots,ideal_prob_1,noisy_prob_1,ideal_error_probability,noisy_error_probability
0.0,0,X,X,2000,0.0,0.0,0.0,0.0
0.02,0,X,X,2000,0.0,0.0415,0.0,0.0415
0.04,0,X,X,2000,0.0,0.075,0.0,0.075
0.06,0,X,X,2000,0.0,0.116,0.0,0.116
0.08,0,X,X,2000,0.0,0.151,0.0,0.151
0.1,0,X,X,2000,0.0,0.1755,0.0,0.1755
0.12,0,X,X,2000,0.0,0.2085,0.0,0.2085
0.14,0,X,X,2000,0.0,0.233,0.0,0.233
0.16,0,X,X,2000,0.0,0.261,0.0,0.261
0.18,0,X,X,2000,0.0,0.2735,0.0,0.2735
0.2,0,X,X,2000,0.0,0.3145,0.0,0.3145
